Title,Job Position,Location,Founded,Employees,About,Skills,Link
Ivy Comptech,Engineering Manager,Hyderabad,Founded in 2002,500 - 1000 employees,"IVY Comptech (IVY) is a group company of a FTSE 100 listed entity - GVC Holdings Plc., (UK). GVC is engaged in providing online and retail gaming in regulated markets, and owns marquee brands such as Bwin, Ladbrokes, Gala Coral, Partypoker, FoxyBingo, Sportingbet, Eurobet etc.

IVY provides software services and solutions to the world of digital entertainment with cutting-edge technology, supporting a large scale technical eco-system, with billions of transaction being serviced across 160 countries from a single platform. Our team remotely manages the tech eco-system that powers 4 billion API calls, 10+ billion SQL executions, 10 billion affiliate impressions in a single day. Staffed with 950 + employees and growing, life @ IVY is very vibrant. The Work environment is fast-paced, demanding, rarely predictable, and certainly never dull. Inherently, we therefore hire the best minds who fit our DNA.

The company is poised to take a leap to the next level in the world of digital entertainment.","Java
Kafka
NoSQL
Node.js
Python
RabbitMQ
Redis
SQL
Spring",https://www.instahyre.com/job-325329-engineering-manager-at-ivy-comptech-hyderabad/
NetSpring,Machine Learning Engineer,Bangalore,Founded in 2019,10 - 50 employees,"NetSpring is a cloud application platform-as-a-service for quick, continuous, AI/ML-assisted, actionable business insights from operational event data. NetSpring's operational intelligence platform serves use cases such as product and behavioral analytics, customer experience, IoT, supply-demand management, financial risk management, personalization, data observability, etc.

NetSpring's co-founders previously co-founded ThoughtSpot, which is now a 4 billion dollar company. NetSpring's early founding team has very deep expertise in enterprise software, data analytics, large-scale distributed systems, databases, and complex analytic applications. They have experience building and scaling a company from zero to a large company. NetSpring is funded by Khosla Ventures, Dell Technologies Capital, and Wipro Ventures. Our mission is to empower every business to reach its peak of operational agility.","Python
NLP
LLMs
PyTorch
Machine Learning",https://www.instahyre.com/job-310939-machine-learning-engineer-at-netspring-bangalore/
Betafront Technologies,SDE II,Bangalore,Founded in 2024,10 - 50 employees,"At Betafront Technologies we are passionate about leveraging technology to drive innovation and solve complex challenges. With a focus on excellence and creativity, we strive to deliver cutting-edge solutions that empower businesses to thrive in the digital age. Our team of experts is dedicated to providing exceptional service and transforming ideas into reality. Partner with us to unlock the full potential of technology for business.

We cater to a diverse range of clients, from small startups to large corporations, offering tailored solutions to meet their unique needs. Whether someone is a budding entrepreneur or an established enterprise, we have the expertise and resources to support the journey toward success. Join hands with us and embark on a transformative digital experience.","Python
AWS
Agile
MySQL
NoSQL",https://www.instahyre.com/job-325031-sde-ii-at-betafront-technologies-bangalore/
Betafront Technologies,SDET 2 Automation,Bangalore,Founded in 2024,10 - 50 employees,"At Betafront Technologies we are passionate about leveraging technology to drive innovation and solve complex challenges. With a focus on excellence and creativity, we strive to deliver cutting-edge solutions that empower businesses to thrive in the digital age. Our team of experts is dedicated to providing exceptional service and transforming ideas into reality. Partner with us to unlock the full potential of technology for business.

We cater to a diverse range of clients, from small startups to large corporations, offering tailored solutions to meet their unique needs. Whether someone is a budding entrepreneur or an established enterprise, we have the expertise and resources to support the journey toward success. Join hands with us and embark on a transformative digital experience.","Python
Automation Testing
SDET
CI - CD
Functional Testing",https://www.instahyre.com/job-327213-sdet-2-automation-at-betafront-technologies-bangalore/
MoEngage,Senior Data Scientist,Bangalore,Founded in 2014,200 - 500 employees,"Mission & History
Retaining and engaging users in mobile apps is hard and it's getting harder every year. We realized the same problem and set out to solve this problem by building a platform which can help app companies send targeted and personalized messaging to users, and improve their retention and conversions. We are building a world-class mobile marketing platform by listening to our customers across the world.

Funding
We have raised $9 million in Series B funding round led by Hyderabad-based Ventureast and Mumbai-based Matrix Partners India

Brief Profile
We are a Venture-backed company based in Silicon Valley (US) and Bangalore (India). We are working with some of the top commerce companies in US and India, and tracking data from millions of devices in a month. The company has been founded by Young IIT alumni who have built mobile applications with millions of users.

Company Culture
Redefining marketing automation for mobile apps is no easy task, so to keep our work focused and thoughtful we rely on a core set of values.
Make it Count - We're a small, determined team, so every drop of innovation makes an impact. We hold ourselves accountable to goals and milestones simply because we know they count.
Listen to Customers - We listen to our customers challenges and problems and plan what we need to build to solve. We show our thanks by keeping customers at the heart of all we do.
Move Fast - We respect the tension between speed and perfection, so while we move fast, we look early for successes and failures, and never stop iterating.
Be Transparent - We think confidence and trust are built through honesty, so in addition to being the best policy, its also our policy. We do our best work because everyone has access to information.","Machine Learning
Python
Big Data
Jupyter",https://www.instahyre.com/job-329611-senior-data-scientist-at-moengage-bangalore/
Money Forward,MLOps Developer,Chennai,Founded in 2012,More than 1000 employees,"Money Forward. Move your life Forward. Money may be nothing more than a tool for living. However, money is also essential for guarding ourselves and our families, as well as for realizing our dreams. We contribute to building a better society by providing services that enable users to see money in a positive light and broaden their range of opportunities, thereby significantly enriching their lives.

This is a PFM (Personal Financial Management) service that aims to visualize and resolve the current situation and issues related to personal finances, such as household finances and assets, in real-time. This is a SaaS for back offices that aims to visualize and solve the current situation and issues directly connected to company management in real time.

Money is only a tool in life. However, ``money'' is also essential for protecting yourself and your family, and for realizing your dreams. We will contribute to creating a better society by dramatically enriching the lives of our users by providing services that allow them to face money positively and expand their possibilities. By building an open and fair ""money platform"" and providing essential services, we will solve the financial issues of all individuals and corporations.

No matter what constraints there may be, we will always keep our eyes on our users, understand their essential challenges, and provide value that exceeds their expectations and imagination. We believe that technology and design can make a huge difference in the world. We will maximize the power of technology and design to deliver new value to users and move society forward. We pledge to treat all stakeholders, including users, employees, shareholders, and society, fairly and honestly, and to be open-minded.","MLOps
Kubernetes
AWS
Machine Learning
Python",https://www.instahyre.com/job-326422-mlops-developer-at-money-forward-chennai/
Google,Senior Software Engineer,"Bangalore, Hyderabad",Founded in 1998,More than 1000 employees,"Google's mission is to organize the worlds information and make it universally accessible and useful.

Since our founding in 1998, Google has grown by leaps and bounds. From offering search in a single language we now offer dozens of products and services including various forms of advertising and web applications for all kinds of tasks in scores of languages. And starting from two computer science students in a university dorm room, we now have thousands of employees and offices around the world. A lot has changed since the first Google search engine appeared. But some things haven't changed: our dedication to our users and our belief in the possibilities of the Internet itself.","Computer Vision
Machine Learning
NLP
Python",https://www.instahyre.com/job-301423-senior-software-engineer-at-google-2-bangalore-hyderabad/
JP Morgan,Security Engineer - Python,Bangalore,Founded in 1900,More than 1000 employees,"Our presence in India began in 1922 when a heritage firm took an ownership interest in a merchant bank in Calcutta. Today, we provide clients in India a comprehensive range of corporate and investment banking services. Our global service centers in Mumbai, Bangalore and Hyderabad support operations globally.

We have operated in Asia Pacific since 1872 and today are present across 17 markets in the region. Local corporations and institutions, multinationals, governments and private clients rely on us for market-leading financial services - a confidence bred from our strength and ability to deliver integrated services across the Corporate & Investment Bank, Asset Management and the Private Bank.

In Asia Pacific, we are committed to helping promote economic growth and economic inclusion through our key philanthropic initiatives in the areas of workforce readiness, small business development and financial capability. Our investments aim to increase the number of quality jobs created for the underserved individuals and communities, helping small businesses become more sustainable, as well as assisting marginalized people in gaining access to affordable financial products so that they can become more financially secure. This shared commitment to the community drives our Foundation's giving and employee engagement and volunteering activities across the region.

J. P. Morgan is a global leader in financial services, offering solutions to the world's most important corporations, governments and institutions in more than 100 countries. The Firm and its Foundation give approximately US$200million annually to nonprofit organizations around the world. We also lead volunteer service activities for employees in local communities by utilizing our many resources, including those that stem from access to capital, economies of scale, global reach and expertise.","Python
Django
Flask",https://www.instahyre.com/job-328133-security-engineer-python-at-jp-morgan-2-bangalore/
Affine,Principal Data Engineer,Chennai,Founded in 2011,500 - 1000 employees,"Affine is a global leader in professional services and solutions at the forefront of AI, data engineering, and cloud technologies. With our distributed team of over 500 analytics professionals across North America, Europe, and Asia, we are dedicated to enabling global enterprises to transform and innovate through the power of AI (Artificial Intelligence), data engineering, and cloud technologies.

We offer exciting career opportunities for professionals seeking to make a significant impact. Our diverse team represents a rich tapestry of talent, expertise, and cultural backgrounds. As an Affine employee, you'll be part of a dynamic and inclusive work environment that values collaboration, creativity, and continuous learning. Joining Affine means immersing yourself in a world of cutting-edge projects and solutions. We work closely with global clients spanning various sectors, including manufacturing, gaming, consumer packaged goods (CPG), media and entertainment, travel, and technology. As a member of our team, you'll have the opportunity to leverage your skills and contribute to transformative projects that shape industries and redefine the future.

We believe in investing in our people and nurturing their growth. Affine is dedicated to your professional development and offers a range of learning opportunities, mentorship programs, and career advancement paths. We also encourage innovation and thought leadership through our strong connections with esteemed institutions like UC Berkeley and premier Indian Institutes of Technology (IITs), ensuring that you stay at the forefront of industry advancements. At Affine, we foster a culture of collaboration, where ideas are valued, and teamwork is celebrated. As you work alongside some of the brightest minds in the industry, you'll be inspired to push boundaries, solve complex challenges, and make a lasting impact on the world.","AWS
Python
Data Warehousing
SQL
Data Migration",https://www.instahyre.com/job-329578-principal-data-engineer-at-affine-chennai/
Frammer AI,Senior Python Developer,Delhi,Founded in 2023,0 - 10 employees,"Frammer AI is a media SaaS platform that uses AI to convert long-form video into monetizable shorts in one click. Frammer instantly shortens all videos into highly discoverable and monetizable content. With just one click, anyone can convert long-form videos into monetizable shorts, featuring auto-transcription, auto-captioning, auto-flip from landscape to portrait, text-based video editing, searchable and actionable archives, chapter generation by topic, and the creation of key moments, reels-(-90 secs), and shorts (60 seconds).","Python
Computer Vision",https://www.instahyre.com/job-329048-senior-python-developer-at-frammer-ai-delhi/
Simplotel,Engineering Manager,Bangalore,Founded in 2013,50 - 200 employees,"Simplotel is a Bangalore based, Software-as-a-Service (SaaS) company helping over 2,000 hotels across 21 countries grow their direct business. We are powering e-commerce for some of the largest hotels in India. The name Simplotel comes from a combination of Simple and Hotel - our mission is to Simplify the life of hoteliers through technology. Simplotel is a Shopify for Hotels', was founded in October 2013 and is funded by Go-MMT - India's largest Online Travel Agency.

Simplotel was awarded the best startup in travel & hospitality for 2021 by Startup India, an initiative of the Union Ministry of Commerce & Industry in India. (https://www.startupindia.gov.in/nsa2021results/travel.html)","Python
Data Structures
Django
Node.js
React.js",https://www.instahyre.com/job-329758-engineering-manager-at-simplotel-bangalore/
Prophecy,Lead Architect,Bangalore,Founded in 2017,50 - 200 employees,"Prophecy is a Cloud-Native Data Engineering product built on Spark & Kubernetes for the Fortune 500 The founding team has worked on engineering and strategy of industry-changing products such as CUDA at NVIDIA, driving Hadoop/Hive at Hortonworks, and Kafka at Confluent. We're excellent at Engineering, Strategy, and Enterprise sales.

We've got a small team of very high-caliber engineers and business people (10 total) that's spread across SF, Gurgaon, and Bangalore. We're now building a robust cloud service that runs the data engineering workloads of the largest companies. We're doing for Data Engineering what Snowflake did for Data Warehousing. We work in Scala (functional programming) compilers, database internals, distributed systems, Spark, Scala, Kubernetes, and multiple public clouds.","Algorithms
Data Structures
Java
Python
Scala",https://www.instahyre.com/job-326157-lead-architect-at-prophecy-bangalore/
WeWork,SDE 3 Backend,Bangalore,Founded in 2010,More than 1000 employees,"WeWork is a global network of workspaces where companies grow together. Teams of any size can find refreshingly designed collaborative space, private offices, and meeting rooms that energize their employees and their guests. But WeWork is so much more than four walls - providing community, amenities, events, and technology to evolve space into experience.","Java
Python
Node.js",https://www.instahyre.com/job-321459-sde-3-backend-at-wework-bangalore/
Aktana,Senior QA Engineer,Work From Home,Founded in 2008,50 - 200 employees,"Aktana is a pioneer in intelligent engagement for the global life sciences industry. Its contextual Intelligence Engine leverages a proprietary blend of AI, human insight and other advanced technologies to help life sciences teams seamlessly coordinate and optimise personalised omnichannel engagement with healthcare providers.

Committed to customer success and innovation, Aktana empowers 250+ brands worldwide to capitalise on data investments, drive productivity, and continually enhance campaign performance. More than half of the top 20 global pharmaceutical companies are Aktana customers.","Automation Testing
Manual Testing
Performance Testing
SDET
Cucumber
JMeter
Python
Selenium",https://www.instahyre.com/job-327374-senior-qa-engineer-at-aktana-work-from-home/
WeWork,SDE 3 - Backend,Bangalore,Founded in 2010,More than 1000 employees,"WeWork is a global network of workspaces where companies grow together. Teams of any size can find refreshingly designed collaborative space, private offices, and meeting rooms that energize their employees and their guests. But WeWork is so much more than four walls - providing community, amenities, events, and technology to evolve space into experience.","Java
Node.js
Python",https://www.instahyre.com/job-296009-sde-3-backend-at-wework-bangalore/
Origin Medical Research Lab,Staff Engineer,Bangalore,Founded in 2019,10 - 50 employees,"Origin Medical Research Lab is a research arm that sits at the heart of Origin Medical's innovation ecosystem. We're a growing, dynamic team of best-in-class scientists, engineers, and experts in clinical data and artificial intelligence working towards a common vision: to elevate, standardize, and democratize the global standard of care for every mother and infant by bringing best-in-class prenatal screening to them.

With a passion for discovery and a commitment to excellence, we strive to tackle complex challenges and pioneer transformative solutions that will have a significant impact on maternal and fetal healthcare. We believe in the perfect blend of work and play, where every day brings new opportunities for growth and camaraderie. Here, creativity thrives alongside professionalism, creating an environment conducive to the birth of groundbreaking ideas.","Python
Golang
Kubernetes
Docker
Data Structures",https://www.instahyre.com/job-313649-staff-engineer-at-origin-medical-research-lab-bangalore/
Furrl,Senior Software Engineer,Bangalore,Founded in 2022,0 - 10 employees,"At Furrl, we are opening up the world of new independent brands to today's savvy consumers. One who wants to browse, be inspired and shop - all in a few clicks and hassle-free. We are masters of tech and e-commerce, who love beautiful things. And we have used our tech superpowers to design a discovery experience like no other. We have big ambitions and are leading the massive next wave of e-commerce.

In today's new age, the savvy consumer is done with the same old brands. Most of us at Furrl have faced this personally - we didn't want to keep wearing the same brands that everyone else was to, but we had nowhere to go and discover brands right for us. We increasingly felt frustrated. And our frustration turned into conviction when we dug deeper and realized that a vast ocean of independent, professional, digital-first brands has come into being over the last few years. These are unique brands, each with its own story and aesthetic. An ocean just waiting to be discovered. This is the story of Furrl - we are here to revolutionize how consumers discover, purchase, and share their favorite new-age brands. We have big ambitions and are here to lead the new wave of e-commerce.","Java
Node.js
Python",https://www.instahyre.com/job-315289-senior-software-engineer-at-furrl-bangalore/
Tessell,Sr. Backend Engineer,Bangalore,Founded in 2021,10 - 50 employees,"Tessell delivers highly differentiated DBaaS on customers' choice of the cloud for their choice of engine. Tessell differentiation includes up to 10 more IOPS for databases; a zero-data loss availability machine that protects data, makes the data available across regions, and provides time-travel capability for data cloning needs; a consumer-grade data consumption experience for developers and data owners; and enterprise-grade data governance and deployment models.

At Tessell, we aspire to Tessellate all types of enterprise data into the cloud. To begin with, we concentrate on structured data for three reasons. First and foremost, the current cloud services in this space are, in our opinion, half-baked. Second, this is where the majority of the money is being spent today and will continue to be spent in the future. Third, we've been living and breathing this space for over 20 years and are confident in our ability to solve interesting problems.","Microservices
Java
AWS
Golang
Python",https://www.instahyre.com/job-323403-sr-backend-engineer-at-tessell-2-bangalore/
Frammer AI,Sr. Python Expert,Delhi,Founded in 2023,0 - 10 employees,"Frammer AI is a media SaaS platform that uses AI to convert long-form video into monetizable shorts in one click. Frammer instantly shortens all videos into highly discoverable and monetizable content. With just one click, anyone can convert long-form videos into monetizable shorts, featuring auto-transcription, auto-captioning, auto-flip from landscape to portrait, text-based video editing, searchable and actionable archives, chapter generation by topic, and the creation of key moments, reels-(-90 secs), and shorts (60 seconds).","Python
Algorithms
Data Structures
Django
Flask",https://www.instahyre.com/job-325420-sr-python-expert-at-frammer-ai-delhi/
Tessell,Site Reliability Engineer,Hyderabad,Founded in 2021,10 - 50 employees,"Tessell delivers highly differentiated DBaaS on customers' choice of the cloud for their choice of engine. Tessell differentiation includes up to 10 more IOPS for databases; a zero-data loss availability machine that protects data, makes the data available across regions, and provides time-travel capability for data cloning needs; a consumer-grade data consumption experience for developers and data owners; and enterprise-grade data governance and deployment models.

At Tessell, we aspire to Tessellate all types of enterprise data into the cloud. To begin with, we concentrate on structured data for three reasons. First and foremost, the current cloud services in this space are, in our opinion, half-baked. Second, this is where the majority of the money is being spent today and will continue to be spent in the future. Third, we've been living and breathing this space for over 20 years and are confident in our ability to solve interesting problems.","Python
AWS
Azure
PostgreSQL
MySQL",https://www.instahyre.com/job-323201-site-reliability-engineer-at-tessell-2-hyderabad/
ALLEN Digital,SDE - 2,Bangalore,Founded in 2020,200 - 500 employees,"At ALLEN Digital, we spearhead a technology-driven approach to education, leveraging top-tier tech talent from leading technology firms. Through our strategic collaboration with Bodhi Tree Systems, a prominent venture capital firm known for building and scaling tech-first brands, we are revolutionising education with a tech-first approach.

We address two critical challenges in the current education landscape: the need for more emphasis on holistic learning and adopting a one-size-fits-all approach. We are leveraging AI to develop an innovative ed-tech platform to provide students with a compelling end-to-end learning experience. Our goal is to transform education by providing personalized learning experiences that transcend traditional classrooms by catering to individual learning needs and to drive significant improvements in learning outcomes.","Java
Algorithms
Data Structures
Microservices
Python",https://www.instahyre.com/job-329475-sde-2-at-allen-digital-bangalore/
Kutumb,Lead Backend Engineer,Bangalore,Founded in 2020,50 - 200 employees,"India, especially Bharat thrives on communities. India has a vast number of communities based on culture, creed, beliefs, interests, professions, etc. For example, there are more than 20000 social groups in India, 1000s of spiritual, religious, or other non-government organisations, and 100s of unique professions. We are creating a social network for millions of members inside each of these communities.

We are building Kutumb for these large communities to better connect, communicate and share with each other. Kutumb is a platform, which can handle communities of 100 users to 10 million users much better than Facebook groups or Whatsapp groups.

A single community on Kutumb acts as a full fledged social network in its own, where in you can browse content, explore other users, connect and communicate with them. Kutumb is a safe space where these communities prosper in a rich environment that is created for the community by the community. Currently two communities are live - Yadav Samaj and Rajasthan Shikshak.","Golang
Java
Kafka
Node.js
PostgreSQL
Python",https://www.instahyre.com/job-259208-lead-backend-engineer-at-kutumb-bangalore/
Celestial Systems,Python Developer,Bangalore,Founded in 2001,50 - 200 employees,"We are Celestial Systems, a name synonymous with enterprise software development since 2001 By designing reliable software, delivering quality services and developing valuable partnerships, we are on a journey of continuous innovation. Our enterprise level experience in engineering enables us to offer critical development services for organizations to be successful in the digital ages. Moreover, at Celestial, we focus on adhering to the complete software development lifecycle process. Our experts are curious to work with the latest technologies and are extremely passionate about software development. Whether its frontend development, backend, devOps, QA and testing or cloud hosting, our tailor-made technology solutions, provide answers to your problems.","Python
Django
Flask
pytest
API Testing",https://www.instahyre.com/job-174858-python-developer-at-celestial-systems-bangalore/
Celestial Systems,Senior Software Developer - Backend,Bangalore,Founded in 2001,50 - 200 employees,"We are Celestial Systems, a name synonymous with enterprise software development since 2001 By designing reliable software, delivering quality services and developing valuable partnerships, we are on a journey of continuous innovation. Our enterprise level experience in engineering enables us to offer critical development services for organizations to be successful in the digital ages. Moreover, at Celestial, we focus on adhering to the complete software development lifecycle process. Our experts are curious to work with the latest technologies and are extremely passionate about software development. Whether its frontend development, backend, devOps, QA and testing or cloud hosting, our tailor-made technology solutions, provide answers to your problems.","Python
Flask
pytest
Django
Kubernetes",https://www.instahyre.com/job-318105-senior-software-developer-backend-at-celestial-systems-bangalore/
Fraank Systems,Cloudera Data Platform Engineer,Bangalore,Founded in 2010,50 - 200 employees,"We're building for billions and crafting stories of bold transformation. The next-gen global technology company helping businesses to grow and thrive in the digital age. With the dynamic pace of technological change, choosing the right technology for business needs can be a complex and often confusing process. Fraank Systems approaches each project as a completely custom job.

Though many companies need the same basic skill set, there are variations that are very important. Companies grow differently, and they need customized solutions that will fit with the way they do business as opposed to having solutions thrust upon them and being told that they must change. Engineering ideas to improvise lives, Fraank Systems over the past 10 years, has empowered ambitious change-makers around the world with sustained digital capabilities. We are a trusted digital engineering and enterprise modernization partner with offerings that enable our clients by creating a unique competitive advantage.","Hadoop
CDP
Python
Azure
Docker",https://www.instahyre.com/job-329206-cloudera-data-platform-engineer-at-fraank-systems-bangalore/
